city,floorarea,bathrooms,address,latitude,price,bedrooms,zipcode,longitude
Austin,1040,1,6505 Cooper Ln,30.20046,254900,3,78745,-97.789549
Austin,2000,3,7902 Persimmon Trl,30.187801,129000,3,78745,-97.800839
Austin,1390,2,3101 Jeanne Marie Ct,30.200573,299000,3,78745,-97.829103
Austin,1146,2,7403 Lunar Dr,30.186648,250000,3,78745,-97.786592
Austin,1848,2,5804 Nancy Dr,30.206668,215000,4,78745,-97.785732
Austin,888,2,4516 S 1st St,30.218764,215000,4,78745,-97.77479
Austin,1335,2,12311 Bainbridge Ln,30.457001,210500,3,78750,-97.800503
Austin,1876,2,6306 Maury Holw,30.375847,399000,3,78750,-97.78753
Austin,1526,2,11310 Spicewood Club Dr APT 22,30.4421,255000,2,78750,-97.806663
Austin,2025,2,11612 Birchbark Trl,30.454693,280000,4,78750,-97.821969
Austin,1423,2,12500 Piper Ct,30.463,260000,3,78750,-97.8059
Austin,2090,3,12410 Burlywood Trl,30.462813,269999,3,78750,-97.806264
Austin,1098,1,208 Rowland Dr,30.213495,239000,3,78745,-97.766325
Austin,1071,2,5132 Meadow Creek Dr,30.213984,269900,3,78745,-97.782794
Austin,1706,3,5402 Jeffburn Cv,30.212918,425000,3,78745,-97.784841
Austin,1129,2,925 Bodark Ln,30.195721,239000,3,78745,-97.79573
Austin,858,1,305 Rowland Dr,30.212729,239000,2,78745,-97.76563
Austin,2038,2,11102 Wintergreen Hl,30.434106,505000,3,78750,-97.798177
Austin,2074,2,6313 Big Cat Cv,30.376602,414900,3,78750,-97.788155
Austin,2283,3,7317 Colina Vista Loop # B,30.391157,360000,3,78750,-97.827225
Austin,2326,3,7316 Bandera Ranch Trl,30.3734,372900,4,78750,-97.7976
Austin,3450,3,10625 Glass Mountain Trl,30.440244,649900,6,78750,-97.813957
Austin,2539,3,10518 Glass Mountain Trl,30.445015,609000,4,78750,-97.813241
Austin,853,2,8600 Fathom Cir APT 1405,30.438024,135000,2,78750,-97.779499
Austin,2205,3,11713 Birchbark Trl,30.45489,289999,5,78750,-97.82155
Austin,2288,3,10600 Mourning Dove Dr,30.449592,325000,4,78750,-97.808049
Austin,2060,3,11303 Timbrook Trl,30.460224,319900,4,78750,-97.813603
Austin,2962,3,10509 Ronwood Dr,30.431878,579750,4,78750,-97.807315
Austin,2770,3,10504 Plumewood Dr,30.430997,450000,4,78750,-97.808054
Austin,1960,2,11700 Crosstimber Dr,30.449333,319000,3,78750,-97.809357
Austin,2302,3,9202 Brigadoon Cv,30.427623,459000,4,78750,-97.797249
Austin,3145,4,8116 Vailview Cv,30.39207,569900,5,78750,-97.799926
Austin,1818,2.5,7324 Cave Holw,30.375628,349000,3,78750,-97.789756
Austin,915,2,909 Reinli St APT 205,30.318967,218900,2,78751,-97.710357
